Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Jack and Jill,2011,Comedy,English,USA,PG,91,1.85,79000000,74158157,Dennis Dugan,Al Pacino,Adam Sandler,Tim Meadows,60370,264,156,3.4
"Jeff, Who Lives at Home",2011,Comedy|Drama,English,USA,R,83,1.85,10000000,4244155,Jay Duplass,Judy Greer,Evan Ross,Rae Dawn Chong,56005,112,182,6.5
Johnny English Reborn,2011,Action|Adventure|Comedy|Crime,English,USA,PG,101,2.35,45000000,8129455,Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,89568,142,152,6.3
Jumping the Broom,2011,Comedy|Drama,English,USA,PG-13,112,1.85,6600000,37295394,Salim Akil,Gary Dourdan,Loretta Devine,Laz Alonso,7973,59,52,5.7
Just Go with It,2011,Comedy|Romance,English,USA,PG-13,117,1.85,80000000,103028109,Dennis Dugan,Adam Sandler,Bailee Madison,Kevin Nealon,172878,203,204,6.4
Justin Bieber: Never Say Never,2011,Documentary|Music,English,USA,G,115,1.85,13000000,73000942,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,74351,233,84,1.6
Kevin Hart: Laugh at My Pain,2011,Comedy|Documentary,English,USA,R,89,1.85,,7705974,Leslie Small,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,3543,8,5,7.5
Kill List,2011,Crime|Horror|Thriller,English,UK,Not Rated,95,2.35,500000,26297,Ben Wheatley,MyAnna Buring,Ben Crompton,Neil Maskell,25750,209,255,6.3
Killer Elite,2011,Action|Crime|Thriller,English,UK,R,116,2.35,35000000,25093607,Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,105556,157,189,6.5
Killer Joe,2011,Crime|Drama|Romance|Thriller,English,USA,R,98,1.85,11000000,1987762,William Friedkin,Matthew McConaughey,Scott A. Martin,Carol Sutton,59297,216,376,6.7
Kung Fu Panda 2,2011,Action|Adventure|Animation|Comedy|Family,English,USA,PG,90,2.35,150000000,165230261,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,182718,209,284,7.3
L!fe Happens,2011,Comedy,English,USA,R,100,2.35,930000,20186,Kat Coiro,Justin Kirk,Geoff Stults,Kristen Johnston,6025,15,18,5.7
Larry Crowne,2011,Comedy|Drama|Romance,English,USA,PG-13,98,2.35,30000000,35565975,Tom Hanks,Tom Hanks,Rob Riggle,Randall Park,49205,184,218,6.1
Le Havre,2011,Comedy|Drama,French,Finland,Not Rated,93,1.85,3850000,611709,Aki Kaurismäki,Jean-Pierre Léaud,Kati Outinen,Jean-Pierre Darroussin,15267,41,205,7.2
Legend of Kung Fu Rabbit,2011,Action|Adventure|Animation|Comedy|Family,Mandarin,China,PG,89,,,,Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,408,12,5,3.2
Like Crazy,2011,Drama|Romance,English,USA,PG-13,90,1.78,250000,3388210,Drake Doremus,Jennifer Lawrence,Charlie Bewley,Finola Hughes,46813,150,206,6.7
Machine Gun Preacher,2011,Action|Biography|Crime|Drama,English,USA,R,129,2.35,30000000,537580,Marc Forster,Gerard Butler,Madeline Carroll,Kathy Baker,52972,124,134,6.8
Margaret,2011,Drama,English,USA,R,186,1.85,14000000,46495,Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,12053,119,116,6.5
Margin Call,2011,Biography|Drama|Thriller,English,USA,R,107,1.85,3500000,5354039,J.C. Chandor,Kevin Spacey,Demi Moore,Ashley Williams,92599,225,290,7.1
Mars Needs Moms,2011,Action|Adventure|Animation|Comedy|Family|Sci-Fi,English,USA,PG,88,2.35,150000000,21379315,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,17590,112,132,5.4
Martha Marcy May Marlene,2011,Drama|Mystery|Thriller,English,USA,R,102,2.35,,2981638,Sean Durkin,Christopher Abbott,Julia Garner,Brady Corbet,40425,186,348,6.9
Melancholia,2011,Drama|Sci-Fi,English,Denmark,R,130,2.35,7400000,3029870,Lars von Trier,Alexander Skarsgård,Kirsten Dunst,Charlotte Rampling,128729,551,439,7.1
Midnight in Paris,2011,Comedy|Fantasy|Romance,English,Spain,PG-13,94,1.85,17000000,56816662,Woody Allen,Kurt Fuller,Audrey Fleurot,Nina Arianda,301149,509,487,7.7
Mission: Impossible - Ghost Protocol,2011,Action|Adventure|Thriller,English,USA,PG-13,133,2.35,145000000,209364921,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,365104,512,432,7.4
Moneyball,2011,Biography|Drama|Sport,English,USA,PG-13,133,1.85,50000000,75605492,Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,283563,312,419,7.6
Monte Carlo,2011,Adventure|Comedy|Family|Romance,English,Hungary,PG,109,1.85,20000000,23179303,Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,32951,44,94,5.8
Mr. Popper's Penguins,2011,Comedy|Family|Fantasy,English,USA,PG,94,1.85,55000000,68218041,Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,67191,108,189,6
My Last Day Without You,2011,Comedy|Drama|Romance,English,USA,,90,1.66,1000000,,Stefan C. Schaefer,Nicole Beharie,Marlene Forte,Reg E. Cathey,982,12,21,5.7
My Week with Marilyn,2011,Biography|Drama,English,UK,R,99,2.35,6400000,14597405,Simon Curtis,Eddie Redmayne,Toby Jones,Julia Ormond,71679,216,386,7
Never Back Down 2: The Beatdown,2011,Action|Drama|Sport,English,USA,R,90,1.85,3000000,,Michael Jai White,Michael Jai White,Alex Meraz,Jillian Murray,13599,30,23,5.8
New Year's Eve,2011,Comedy|Romance,English,USA,PG-13,113,1.85,56000000,54540525,Garry Marshall,Robert De Niro,Common,Seth Meyers,66579,134,200,5.7
Newlyweds,2011,Comedy|Drama,English,USA,Not Rated,95,,9000,4584,Edward Burns,Kerry Bishé,Caitlin FitzGerald,Daniella Pineda,1338,14,14,6.4
No Strings Attached,2011,Comedy|Romance,English,USA,R,108,2.35,25000000,70625986,Ivan Reitman,Natalie Portman,Greta Gerwig,Mindy Kaling,168717,178,245,6.2
October Baby,2011,Drama,English,USA,PG-13,107,,,5355847,Andrew Erwin,Rachel Hendrix,Robert Amaya,Jason Burkey,6110,82,40,6.8
One Day,2011,Drama|Romance,English,USA,PG-13,107,2.35,15000000,13766014,Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall,106111,181,221,7
Our Idiot Brother,2011,Comedy|Drama,English,USA,R,90,1.85,5000000,24809547,Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,74875,115,179,6.4
Paranormal Activity 3,2011,Horror,English,USA,R,94,1.85,5000000,104007828,Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,76828,314,251,5.8
Paul,2011,Adventure|Comedy|Sci-Fi,English,USA,R,109,2.35,40000000,37371385,Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen,192462,334,342,7
"Pink Ribbons, Inc.",2011,Documentary,English,Canada,Not Rated,97,,1200000,24784,Léa Pool,,,,591,10,23,7.4
Pirates of the Caribbean: On Stranger Tides,2011,Action|Adventure|Fantasy,English,USA,PG-13,136,2.35,250000000,241063875,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,370704,484,448,6.7
Polisse,2011,Crime|Drama,French,France,Not Rated,127,1.85,,171320,Maïwenn,Riccardo Scamarcio,Maïwenn,Karin Viard,10796,33,163,7.3
Priest,2011,Action|Fantasy|Horror|Sci-Fi|Thriller,English,USA,PG-13,87,2.35,60000000,29136626,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,97089,233,225,5.7
Prom,2011,Comedy|Drama,English,USA,PG,104,1.85,8000000,10106233,Joe Nussbaum,Cameron Monaghan,Thomas McDonell,Aimee Teegarden,12702,32,83,5.4
Puss in Boots,2011,Action|Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,90,2.35,130000000,149234747,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,114287,137,246,6.7
Q,2011,Drama,French,France,,103,1.78,1500000,,Laurent Bouhnik,Déborah Révy,Johnny Amaro,Yassine Azzouz,4068,16,9,5.6
Rango,2011,Adventure|Animation|Comedy|Family|Western,English,USA,PG,107,2.35,135000000,123207194,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,183208,337,362,7.2
Raymond Did It,2011,Horror,English,USA,Unrated,83,2.35,40000,,Travis Legge,Elissa Dowling,Patricia Raven,Lindsay Felton,192,6,2,3.2
Real Steel,2011,Action|Drama|Sci-Fi|Sport,English,USA,PG-13,127,2.35,110000000,85463309,Shawn Levy,Hugh Jackman,Torey Michael Adkins,Olga Fonda,254841,426,327,7.1
Red Dog,2011,Biography|Comedy|Drama|Family|Romance,English,Australia,PG,92,2.35,8500000,,Kriv Stenders,Noah Taylor,Keisha Castle-Hughes,Luke Ford,13003,80,54,7.5
Red Riding Hood,2011,Fantasy|Horror|Mystery|Thriller,English,USA,PG-13,100,2.35,42000000,37652565,Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,91151,283,291,5.4
Red State,2011,Action|Crime|Horror|Thriller,English,USA,R,88,1.85,4000000,,Kevin Smith,Anna Gunn,Michael Angarano,Stephen Root,53342,287,270,6.2
Rio,2011,Adventure|Animation|Comedy|Family|Musical,English,USA,G,96,2.35,90000000,143618384,Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,165333,186,240,7
Rise of the Planet of the Apes,2011,Action|Drama|Sci-Fi|Thriller,English,USA,PG-13,105,2.35,93000000,176740650,Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,403836,646,529,7.6
Salvation Boulevard,2011,Action|Comedy|Drama|Thriller,English,USA,R,96,1.85,9000000,27445,George Ratliff,Jim Gaffigan,Cree Kelly,Mike Eshaq,3788,31,48,5.3
Samsara,2011,Documentary|Music,None,USA,PG-13,102,2.35,4000000,2601847,Ron Fricke,Collin Alfredo St. Dic,Balinese Tari Legong Dancers,Puti Sri Candra Dewi,22457,69,115,8.5
Sanctum,2011,Adventure|Drama|Thriller,English,USA,R,108,1.85,30000000,23070045,Alister Grierson,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,47003,215,244,5.9
Saving Private Perez,2011,Adventure|Comedy|Western,Spanish,Mexico,PG-13,105,2.35,,1391770,Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,1592,14,16,6
Scream 4,2011,Horror|Mystery,English,USA,R,111,2.35,40000000,38176892,Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,104119,518,420,6.2
Shame,2011,Drama,English,UK,NC-17,101,2.35,6500000,4000304,Steve McQueen,Michael Fassbender,Nicole Beharie,James Badge Dale,145395,375,486,7.3
Shark Night 3D,2011,Horror|Thriller,English,USA,PG-13,90,1.85,25000000,18860403,David R. Ellis,Chris Zylka,Joel David Moore,Katharine McPhee,20823,130,231,4
Sherlock Holmes: A Game of Shadows,2011,Action|Adventure|Crime|Mystery|Thriller,English,USA,PG-13,129,2.35,125000000,186830669,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,338635,412,382,7.5
Sholem Aleichem: Laughing in the Darkness,2011,Documentary,English,USA,Unrated,93,16,500000,906666,Joseph Dorman,Rachel Dratch,Peter Riegert,Jason Kravits,154,5,29,6.8
Silent House,2011,Drama|Horror|Mystery|Thriller,English,France,R,86,1.85,2000000,12555230,Chris Kentis,Eric Sheffer Stevens,Julia Taylor Ross,Adam Trese,18566,154,218,5.3
Sleep Tight,2011,Drama|Horror|Thriller,Spanish,Spain,Not Rated,102,2.35,5000000,,Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,23756,48,191,7.2
Snow Flower and the Secret Fan,2011,Drama|History,English,China,PG-13,104,2.35,6000000,1346503,Wayne Wang,Bingbing Li,Russell Wong,Ji-hyun Jun,3024,22,56,6.1
Some Guy Who Kills People,2011,Comedy|Crime|Drama|Horror|Mystery|Thriller,English,USA,R,97,1.85,300000,,Jack Perez,Kevin Corrigan,Barry Bostwick,Ahmed Best,4550,58,131,6.4
Something Borrowed,2011,Comedy|Drama|Romance,English,USA,PG-13,112,1.85,35000000,39026186,Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day,48019,153,128,5.9
Soul Surfer,2011,Biography|Drama|Family|Sport,English,USA,PG,106,2.35,18000000,43853424,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,35514,114,110,7.1
Sound of My Voice,2011,Drama|Mystery|Sci-Fi|Thriller,English,USA,R,85,1.85,,405614,Zal Batmanglij,Christopher Denham,James Urbaniak,Constance Wu,15775,69,136,6.7
Source Code,2011,Mystery|Sci-Fi|Thriller,English,USA,PG-13,93,1.85,32000000,54696902,Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,379462,571,522,7.5
Spy Kids: All the Time in the World in 4D,2011,Action|Adventure|Comedy|Family|Sci-Fi,English,USA,PG,89,1.85,27000000,38536376,Robert Rodriguez,Alexa PenaVega,Joel McHale,Daryl Sabara,15866,83,76,3.6
Straw Dogs,2011,Action|Drama|Thriller,English,USA,R,110,2.35,25000000,10324441,Rod Lurie,Alexander Skarsgård,Laz Alonso,Rhys Coiro,27117,140,190,5.8
Sucker Punch,2011,Action|Fantasy,English,USA,PG-13,128,2.35,82000000,36381716,Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,197584,918,435,6.1
Super 8,2011,Mystery|Sci-Fi|Thriller,English,USA,PG-13,112,2.35,50000000,126975169,J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,287822,849,539,7.1
Take Me Home Tonight,2011,Comedy|Drama|Romance,English,USA,R,97,2.35,23000000,6923891,Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,43867,83,136,6.3
Take Shelter,2011,Drama|Thriller,English,USA,R,121,2.35,5000000,1729969,Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,68211,219,359,7.4
The Adjustment Bureau,2011,Romance|Sci-Fi|Thriller,English,USA,PG-13,106,1.85,50200000,62453315,George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,200035,407,413,7.1
The Adventures of Tintin,2011,Action|Adventure|Family|Mystery,English,USA,PG,107,2.35,135000000,77564037,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,177383,447,440,7.4
The Art of Getting By,2011,Drama|Romance,English,USA,PG-13,83,2.35,,1429260,Gavin Wiesen,Michael Angarano,Blair Underwood,Rita Wilson,45293,71,122,6.6
The Artist,2011,Comedy|Drama|Romance,English,France,PG-13,100,1.33,15000000,44667095,Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,190030,583,576,8
The Awakening,2011,Horror|Thriller,English,UK,R,107,2.35,3000000,,Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,46347,112,195,6.5
The Beaver,2011,Drama,English,USA,PG-13,91,2.35,21000000,958319,Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,39764,148,276,6.7
The Best Exotic Marigold Hotel,2011,Comedy|Drama,English,UK,PG-13,124,2.35,10000000,46377022,John Madden,Tom Wilkinson,Penelope Wilton,Celia Imrie,75306,266,264,7.3
The Big Year,2011,Comedy,English,USA,PG,100,2.35,41000000,7204138,David Frankel,Joel McHale,Kevin Pollak,JoBeth Williams,34809,125,108,6.2
The Change-Up,2011,Comedy|Fantasy,English,USA,R,118,2.35,52000000,37035845,David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,136680,149,215,6.4
The Darkest Hour,2011,Action|Adventure|Horror|Sci-Fi|Thriller,English,USA,PG-13,89,2.35,30000000,21426805,Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,49312,211,195,4.9
The Descendants,2011,Comedy|Drama,English,USA,R,115,2.35,20000000,82624961,Alexander Payne,Shailene Woodley,Nick Krause,Beau Bridges,205284,439,549,7.3
The Devil's Double,2011,Biography|Drama|Thriller,English,Belgium,R,109,2.35,15000000,1357042,Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,53977,125,167,7.1
The Dilemma,2011,Comedy|Drama,English,USA,PG-13,111,2.35,70000000,48430355,Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,43709,141,185,5.3
The Divide,2011,Drama|Sci-Fi|Thriller,English,Germany,R,122,2.35,3000000,22000,Xavier Gens,Michael Biehn,Lauren German,Rosanna Arquette,30511,226,174,5.8
The Flowers of War,2011,Drama|History|Romance|War,Mandarin,China,R,146,2.35,94000000,9213,Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,38690,130,136,7.6
The FP,2011,Comedy,English,USA,R,82,2.35,60000,40557,Brandon Trost,Clifton Collins Jr.,Sean Whalen,James DeBello,1389,22,66,5.6
The Girl with the Dragon Tattoo,2011,Crime|Drama|Mystery|Thriller,English,USA,R,158,2.35,90000000,102515793,David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,330152,632,517,7.8
The Greatest Movie Ever Sold,2011,Comedy|Documentary,English,USA,PG-13,90,,1500000,638476,Morgan Spurlock,Quentin Tarantino,J.J. Abrams,Donald Trump,13223,45,130,6.6
The Green Hornet,2011,Action|Comedy|Crime|Sci-Fi|Thriller,English,USA,PG-13,119,2.35,120000000,98780042,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,136019,443,447,5.8
The Grey,2011,Action|Adventure|Drama|Thriller,English,USA,R,117,2.35,25000000,51533608,Joe Carnahan,Liam Neeson,Frank Grillo,James Badge Dale,203111,755,408,6.8
The Guard,2011,Comedy|Crime|Thriller,English,Ireland,R,96,2.35,6000000,5359774,John Michael McDonagh,Don Cheadle,Fionnula Flanagan,Wale Ojo,64794,131,261,7.3
The Hangover Part II,2011,Comedy,English,USA,R,102,2.35,80000000,254455986,Todd Phillips,Bradley Cooper,Mason Lee,Mike Tyson,375879,402,383,6.5
The Harvest/La Cosecha,2011,Documentary,English,USA,,80,,560000,2245,U. Roberto Romano,,,,57,2,3,7.2
The Help,2011,Drama,English,USA,PG-13,146,1.85,25000000,169705587,Tate Taylor,Emma Stone,Bryce Dallas Howard,Mike Vogel,318955,460,373,8.1
The Hit List,2011,Action|Thriller,English,USA,R,90,1.85,6000000,,William Kaufman,Drew Waters,Sean Cook,Cole Hauser,10196,39,26,5.4
The Ides of March,2011,Drama,English,USA,R,101,2.35,12500000,40962534,George Clooney,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle,188652,288,421,7.1
The Innkeepers,2011,Horror,English,USA,R,101,2.35,750000,77501,Ti West,Lena Dunham,Jake Ryan,Pat Healy,27260,247,292,5.5
The Iron Lady,2011,Biography|Drama|History,English,UK,PG-13,105,2.35,13000000,29959436,Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,82327,350,331,6.4
The Legend of Hell's Gate: An American Conspiracy,2011,Action|Adventure|History|Western,English,USA,PG-13,108,,2000000,,Tanner Beard,William McNamara,Kevin Alejandro,Glenn Morshower,583,14,2,4.4
The Lincoln Lawyer,2011,Crime|Drama|Thriller,English,USA,R,118,2.35,40000000,57981889,Brad Furman,Matthew McConaughey,Margarita Levieva,Frances Fisher,173848,203,274,7.3
The Lion of Judah,2011,Animation,English,USA,PG,87,1.78,15000000,,Deryck Broom,Vic Mignogna,Omar Benson Miller,Anupam Kher,458,3,7,3.7
The Mechanic,2011,Action|Crime|Thriller,English,USA,R,93,2.35,40000000,29113588,Simon West,Jason Statham,Tony Goldwyn,Mini Anden,117999,181,252,6.6
The Muppets,2011,Adventure|Comedy|Family|Musical,English,USA,PG,103,1.85,45000000,88625922,James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,75176,252,398,7.1
The Raid: Redemption,2011,Action|Crime|Thriller,Indonesian,Indonesia,R,102,1.85,1100000,4105123,Gareth Evans,Iko Uwais,Yayan Ruhian,Donny Alamsyah,148221,316,481,7.6
The Ridges,2011,Drama|Horror|Thriller,English,USA,,143,,17350,,Brandon Landers,Robbie Barnes,Alana Kaniewski,Brandon Landers,125,8,,3
The Rite,2011,Drama|Horror|Mystery|Thriller,English,USA,PG-13,114,2.35,37000000,33037754,Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones,75864,197,267,6
The Roommate,2011,Drama|Horror|Thriller,English,USA,PG-13,91,2.35,16000000,37300107,Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,29147,115,138,4.8
The Sitter,2011,Comedy,English,USA,R,87,1.85,,30538669,David Gordon Green,Ari Graynor,J.B. Smoove,Kylie Bunbury,60202,114,146,5.7
The Smurfs,2011,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,103,1.78,110000000,142614158,Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,66593,153,172,5.5
The Son of No One,2011,Crime|Drama|Thriller,English,USA,R,90,2.35,15000000,28870,Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan,14280,41,62,5.1
The Three Musketeers,2011,Action|Adventure|Romance,English,Germany,PG-13,110,2.35,75000000,20315324,Paul W.S. Anderson,Milla Jovovich,Logan Lerman,Orlando Bloom,88542,254,228,5.8
The Tree of Life,2011,Drama|Fantasy,English,USA,PG-13,139,1.85,32000000,13303319,Terrence Malick,Brad Pitt,Tye Sheridan,Fiona Shaw,136367,975,584,6.7
There Be Dragons,2011,Biography|Drama|War,English,Spain,PG-13,102,2.35,36000000,1068392,Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole,3865,53,77,5.9
Thor,2011,Action|Adventure|Fantasy,English,USA,PG-13,115,2.35,150000000,181015141,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,536314,738,516,7
Tinker Tailor Soldier Spy,2011,Drama|Mystery|Thriller,English,France,R,127,2.35,20000000,24104113,Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,149066,517,466,7.1
Tower Heist,2011,Action|Comedy|Crime,English,USA,PG-13,104,2.35,75000000,78009155,Brett Ratner,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,110073,194,236,6.2
Transformers: Dark of the Moon,2011,Action|Adventure|Sci-Fi,English,USA,PG-13,154,2.35,195000000,352358779,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,326180,899,428,6.3
Twixt,2011,Comedy|Fantasy|Horror|Mystery,English,USA,R,88,1.85,7000000,,Francis Ford Coppola,Alden Ehrenreich,Bruce Dern,Joanne Whalley,8589,70,112,4.8
Unknown,2011,Action|Mystery|Thriller,English,UK,PG-13,113,2.35,30000000,61094903,Jaume Collet-Serra,Liam Neeson,Frank Langella,Aidan Quinn,210542,332,349,6.9
Unknown,2011,Action|Mystery|Thriller,English,UK,PG-13,113,2.35,30000000,61094903,Jaume Collet-Serra,Liam Neeson,Frank Langella,Aidan Quinn,210548,332,349,6.9
War Horse,2011,Drama|War,English,USA,PG-13,146,2.35,66000000,79883359,Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,116159,488,388,7.2
Warrior,2011,Drama|Sport,English,USA,PG-13,140,2.35,25000000,13651662,Gavin O'Connor,Tom Hardy,Frank Grillo,Kevin Dunn,332276,514,317,8.2
Water for Elephants,2011,Drama|Romance,English,USA,PG-13,120,2.35,38000000,58700247,Francis Lawrence,Robert Pattinson,Christoph Waltz,James Frain,95367,260,279,6.9
We Bought a Zoo,2011,Comedy|Drama|Family,English,USA,PG,124,1.85,,75621915,Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,111003,199,257,7.1
We Have Your Husband,2011,Crime|Drama|Thriller,English,USA,TV-PG,87,1.78,5000000,,Eric Bross,Teri Polo,Esai Morales,Nicholas Gonzalez,216,3,,5.5
We Need to Talk About Kevin,2011,Drama|Thriller,English,UK,R,112,2.35,7000000,1738692,Lynne Ramsay,Ezra Miller,Siobhan Fallon Hogan,Ashley Gerasimovich,95529,301,389,7.5
Weekend,2011,Drama|Romance,English,UK,Not Rated,97,1.85,120000,469947,Andrew Haigh,Tom Cullen,Chris New,Vauxhall Jermaine,19846,68,143,7.7
What's Your Number?,2011,Comedy|Romance,English,USA,R,117,1.85,20000000,13987482,Mark Mylod,Chris Evans,Ari Graynor,Ed Begley Jr.,58957,91,151,6
Winnie Mandela,2011,Biography|Drama|History,English,South Africa,R,104,,15000000,,Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,609,15,17,6
Winnie the Pooh,2011,Adventure|Animation|Comedy|Family|Musical,English,USA,G,63,1.85,30000000,26687172,Stephen J. Anderson,Craig Ferguson,Robert Lopez,Huell Howser,15600,55,162,7.3
Without Men,2011,Comedy,English,USA,R,87,,4700000,,Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,1427,12,4,3.2
X-Men: First Class,2011,Action|Adventure|Sci-Fi,English,USA,PG-13,132,2.35,160000000,146405371,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,518537,698,500,7.8
You Got Served: Beat the World,2011,Drama|Music,English,Canada,PG-13,91,2.35,10000000,,Robert Adetuyi,Shane Pollard,Mishael Morgan,Chase Armitage,1642,11,5,4.5
Young Adult,2011,Comedy|Drama,English,USA,R,94,1.85,12000000,16300302,Jason Reitman,Charlize Theron,Patton Oswalt,Collette Wolfe,64682,203,325,6.3
Your Highness,2011,Adventure|Comedy|Fantasy,English,USA,R,102,2.35,49900000,21557240,David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,85237,274,208,5.6
Your Sister's Sister,2011,Comedy|Drama,English,USA,R,90,,125000,1573712,Lynn Shelton,Mark Duplass,Mike Birbiglia,Mel Eslyn,21618,62,171,6.7
Zookeeper,2011,Comedy|Family|Romance,English,USA,PG,102,2.35,80000000,80360866,Frank Coraci,Rosario Dawson,Leslie Bibb,Nicholas Turturro,44662,127,178,5.2
2016: Obama's America,2012,Documentary,English,USA,PG,87,1.85,2500000,33349949,Dinesh D'Souza,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,9010,199,30,5.1
21 Jump Street,2012,Action|Comedy|Crime,English,USA,R,109,2.35,42000000,138447667,Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,408302,345,375,7.2
A Perfect Plan,2012,Comedy|Romance,French,France,,104,2.35,17000000,,Pascal Chaumeil,Dany Boon,Malonn Lévana,Alice Pol,5525,11,58,6.3
A Thousand Words,2012,Comedy|Drama,English,USA,PG-13,91,2.35,40000000,18438149,Brian Robbins,John Gatins,Lou Saliba,Greg Collins,30842,93,70,5.9
Abraham Lincoln: Vampire Hunter,2012,Action|Fantasy|Horror,English,USA,R,105,2.35,69000000,37516013,Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,128629,348,393,5.9
Act of Valor,2012,Action|Adventure|Drama|Thriller|War,English,USA,R,110,2.35,12000000,70011073,Mike McCoy,Alex Veadov,Jason Cottle,Rorke Denver,57996,349,216,6.5
After,2012,Fantasy|Horror|Mystery|Thriller,English,USA,PG-13,90,2.35,650000,,Ryan Smith,Sandra Ellis Lafferty,Madison Lintz,Karolina Wydra,3699,27,34,5.4
Alex Cross,2012,Action|Crime|Mystery|Thriller,English,USA,PG-13,101,2.35,35000000,25863915,Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,28257,151,211,5.1
Alien Uprising,2012,Comedy|Sci-Fi,English,UK,R,101,2.35,2500000,,Dominic Burns,Julian Glover,Sean Pertwee,Bianca Brigitte VanDamme,2753,82,20,3.1
American Reunion,2012,Comedy,English,USA,R,113,1.85,50000000,56724080,Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,172112,181,291,6.7
